name	lat	lon
ERR974314	34.62	-78.56
ERR974316	34.62	-78.56
ERR974367	35.01	-77.37
ERR974368	35.01	-77.37
ERR974417	37.37	-76.56
ERR974418	37.37	-76.56
ERR974343	34.94	-77.93
ERR974345	34.94	-77.93
ERR974346	34.94	-77.93
ERR974347	34.94	-77.93
ERR974348	34.94	-77.93
ERR974350	34.94	-77.93
ERR974337	34.94	-77.93
ERR974338	34.94	-77.93
ERR974317	33	-83.5
ERR974318	33	-83.5
ERR974319	33	-83.5
ERR974320	33	-83.5
ERR974321	33	-83.5
ERR974322	33	-83.5
ERR974323	33	-83.5
ERR974324	33	-83.5
ERR974325	33	-83.5
ERR974326	33	-83.5
ERR974328	33	-83.5
ERR974329	33	-83.5
ERR974330	33	-83.5
ERR974331	33	-83.5
ERR974332	33	-83.5
ERR974333	33	-83.5
ERR974334	33	-83.5
ERR974335	33	-83.5
ERR974336	33	-83.5
ERR974369	37.4087	-76.713
ERR974370	37.4087	-76.713
ERR974372	37.4087	-76.713
ERR974374	37.4087	-76.713
ERR974390	37.4087	-76.713
ERR974391	37.4087	-76.713
ERR974392	37.4087	-76.713
ERR974393	37.4087	-76.713
ERR974394	37.4087	-76.713
ERR974395	37.4087	-76.713
ERR974396	37.4087	-76.713
ERR974397	37.4087	-76.713
ERR974399	37.4087	-76.713
ERR974400	37.4087	-76.713
ERR974401	37.338	-80.715
ERR974375	37.4087	-76.713
ERR974376	37.3608	-77.5707
ERR974377	37.3608	-77.5707
ERR974378	37.3608	-77.5707
ERR974379	37.3608	-77.5707
ERR974380	37.3608	-77.5707
ERR974381	37.3608	-77.5707
ERR974382	37.3608	-77.5707
ERR974383	37.3608	-77.5707
ERR974384	37.3608	-77.5707
ERR974412	37.3608	-77.5707
ERR974413	37.3608	-77.5707
ERR974414	37.3608	-77.5707
ERR974415	37.3608	-77.5707
ERR974416	37.3608	-77.5707
ERR974386	37.338	-80.715
ERR974387	37.338	-80.715
ERR974388	37.338	-80.715
ERR974389	37.338	-80.715
ERR974402	37.338	-80.715
ERR974403	37.338	-80.715
ERR974404	37.338	-80.715
ERR974405	37.338	-80.715
ERR974406	37.338	-80.715
ERR974407	37.338	-80.715
ERR974408	37.338	-80.715
ERR974409	37.338	-80.715
ERR974410	37.338	-80.715
ERR974411	37.338	-80.715
ERR974310	35.908333	-79.05
ERR974311	35.908333	-79.05
ERR974312	35.908333	-79.05
ERR974313	35.908333	-79.05
ERR974339	35.908333	-79.05
ERR974340	35.908333	-79.05
ERR974341	35.908333	-79.05
ERR974342	35.908333	-79.05
SRR6183880	19.72231	-155.33609
SRR6183859	19.72237	-155.33602
SRR6183858	19.72182	-155.33641
ASCL.DP.B.Leaf		
GONO.62415		
10.4.F.16.6.2014		
10.4.M.16.6.2014		
31.4.F.16.6.2014		
31.4.M.16.6.2014		
16.5.F.16.6.2014		
16.5.M.16.6.14		
23.5.F.16.6.14		
23.5.M.16.6.14		
22.6.F.16.6.2014		
22.6.M.16.6.14		
30.6.F.16.6.14		
30.6.M.16.6.2014		
28.8.F.16.6.2014		
28.8.M.16.6.14		
29.8.F.16.6.14		
29.8.M.16.6.14		
17.9.F.16.6.14		
17.9.M.16.6.14		
27.9.F.16.6.2014		
27.9.M.16.6.14		
E3OcanW31TOR2011	43.6532	-79.3832
F1OcanW27TOR2011	43.6532	-79.3832
F1OcanW28TOR2011	43.6532	-79.3832
P3OcanW25TOR2012	43.6532	-79.3832
6F002OcanW33LAM2012	43.6532	-79.3832
NOcanW33MSL2012	43.6532	-79.3832
P3OcsW37TOR2013	43.6532	-79.3832
B1OcanW25TOR2012	43.6532	-79.3832
F1OcanW25TOR2012	43.6532	-79.3832
B1OcanW25TOR2011	43.6532	-79.3832
F1OcanW25TOR2011	43.6532	-79.3832
N5OcanW25TOR2011	43.6532	-79.3832
R1OcanW25TOR2011	43.6532	-79.3832
B1OcanW26TOR2012	43.6532	-79.3832
Y12V1OcanW30PEE2012	43.6532	-79.3832
B1OcanW26TOR2011	43.6532	-79.3832
F1OcanW26TOR2011	43.6532	-79.3832
F4OcanW26TOR2011	43.6532	-79.3832
R1OcanW26TOR2011	43.6532	-79.3832
Q3OcanW35TOR2011	43.6532	-79.3832
Y12V1OcanW31PEE2012	43.6532	-79.3832
3F005OjW31LAM2012	43.6532	-79.3832
BOjW31BRN2012	43.6532	-79.3832
COjW31BRN2012	43.6532	-79.3832
EOjW31BRN2012	43.6532	-79.3832
FOjW31BRN2012	43.6532	-79.3832
JOjW31BRN2012	43.6532	-79.3832
3A081OjW32LAM2012	43.6532	-79.3832
3F005OjW32LAM2012	43.6532	-79.3832
4A033OjW32LAM2012	43.6532	-79.3832
E3OjW32TOR2012	43.6532	-79.3832
IOjW32MSL2012	43.6532	-79.3832
J4OjW32TOR2012	43.6532	-79.3832
L1OjW32TOR2012	43.6532	-79.3832
L4OjW32TOR2012	43.6532	-79.3832
L5OjW32TOR2012	43.6532	-79.3832
L6OjW32TOR2012	43.6532	-79.3832
N1OjW32TOR2012	43.6532	-79.3832
OOjW32MSL2012	43.6532	-79.3832
QOjW32MSL2012	43.6532	-79.3832
Y12O2AvW32PEE2012	43.6532	-79.3832
BOjW32BRN2012	43.6532	-79.3832
EOjW32BRN2012	43.6532	-79.3832
HOjW32BRN2012	43.6532	-79.3832
IOjW32BRN2012	43.6532	-79.3832
NOjW32BRN2012	43.6532	-79.3832
BOjW33BRN2012	43.6532	-79.3832
D1OjW33TOR2012	43.6532	-79.3832
EOjW33BRN2012	43.6532	-79.3832
HOjW33BRN2012	43.6532	-79.3832
IOjW33BRN2012	43.6532	-79.3832
L6OjW33TOR2012	43.6532	-79.3832
NOjW33BRN2012	43.6532	-79.3832
S1OjW33WEC2012	43.6532	-79.3832
3A024OjW33LAM2012	43.6532	-79.3832
AOjW33MSL2012	43.6532	-79.3832
OOjW33MSL2012	43.6532	-79.3832
QQ12OjW33MSL2012	43.6532	-79.3832
RR12OjW33MSL2012	43.6532	-79.3832
SS12OjW33MSL2012	43.6532	-79.3832
Y12E1OjW33PEE2012	43.6532	-79.3832
J4OjW34TOR2012	43.6532	-79.3832
L6OjW34TOR2012	43.6532	-79.3832
Y12B2OjW34PEE2012	43.6532	-79.3832
Y12B3OjW34PEE2012	43.6532	-79.3832
Y12S1OjW34PEE2012	43.6532	-79.3832
4F001OjW34LAM2012	43.6532	-79.3832
7F004OjW34LAM2012	43.6532	-79.3832
FOjW34BRN2012	43.6532	-79.3832
NOjW34MSL2012	43.6532	-79.3832
OOjW34MSL2012	43.6532	-79.3832
TOjW34BRN2012	43.6532	-79.3832
L4OjW30TOR2012	43.6532	-79.3832
L6OjW30TOR2012	43.6532	-79.3832
4A033OjW30LAM2012	43.6532	-79.3832
HOjW30BRN2012	43.6532	-79.3832
IOjW30BRN2012	43.6532	-79.3832
NOjW30BRN2012	43.6532	-79.3832
Y12B1OjW30PEE2012	43.6532	-79.3832
Y12D1OjW30PEE2012	43.6532	-79.3832
P1OtsW32TOR2012	43.6532	-79.3832
E2OjW31TOR2012	43.6532	-79.3832
E3OjW31TOR2012	43.6532	-79.3832
F1OjW31TOR2012	43.6532	-79.3832
F4OjW31TOR2012	43.6532	-79.3832
J4OjW31TOR2012	43.6532	-79.3832
L1OjW31TOR2012	43.6532	-79.3832
N1OjW31TOR2012	43.6532	-79.3832
Y12B1OjW31PEE2012	43.6532	-79.3832
Y12D1OjW31PEE2012	43.6532	-79.3832
A1CqW31TOR2011	43.6532	-79.3832
4A027CqW31LAM2012	43.6532	-79.3832
4F001CqW31LAM2012	43.6532	-79.3832
6A038CqW31LAM2012	43.6532	-79.3832
